RestaurantID,Restaurant Name,Latitude,Longitude,Address,Type,Cuisines,Style,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Has_Online_delivery,Has_Table_booking,Has_Wifi,Price,Product_quality(10),Serving_quality(10),Interior_design(10),Average_rating(5),Total votes
1,Làng Bưởi Năm Huệ Tân Triều,10.9964150000000,106.7862730000000,"Tân Triều, Tân Bình, Huyện Vĩnh Cửu, Đồng Nai","Nhà hàng, ","Gỏi, Ăn vặt - Ăn nhẹ, Trái cây, ","Món Việt, ",10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,no,yes,no,100.000 -330.000,6.6,6.4,6.9,6.6,39
2,Ốc Hoàng Lâm - Tỉnh Lộ 768,11.0113807919238,106.8425774574279,"Tỉnh Lộ 768, Ấp 5, Xã Thạnh Phú, Huyện Vĩnh Cửu, Đồng Nai","Quán nhậu, ",,"Món Việt, ",14:00 - 23:00,14:00 - 23:00,14:00 - 23:00,14:00 - 23:00,14:00 - 23:00,14:00 - 23:00,14:00 - 23:00,yes,yes,yes,30.000 -100.000,10.0,10.0,10.0,10.0,2
3,Big Mama - Thế Giới Ăn Vặt,11.0133610000000,106.8525780000000,"Tỉnh Lộ 768, Ấp 5, Xã Thạnh Phú, Huyện Vĩnh Cửu, Đồng Nai","Quán ăn, ","Món nước, Mì, Ăn vặt - Ăn nhẹ, Thức uống, ","Món Việt, ",08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,yes,no,yes,13.000 -50.000,9.2,8.8,9.2,8.9,5
4,Khu Ăn Vặt - Bờ Hồ Trị An,11.0975070000000,107.0491330000000,"Tôn Đức Thắng, Huyện Vĩnh Cửu, Đồng Nai","Ăn vặt/vỉa hè, ",,"Món Việt, ",09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,no,yes,yes,5.000 -20.000,6.7,6.7,9.0,7.7,3
5,Bánh Bèo Bà Dục,11.0905816924496,107.0449380576610,"Hoàng Văn Thụ, Vĩnh An, Huyện Vĩnh Cửu, Đồng Nai","Quán ăn, ","Ăn vặt - Ăn nhẹ, Bánh xèo, ","Món Việt, ",09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,no,no,no,15.000 -20.000,9.3,7.3,8.7,8.3,3
6,Hủ Tíu Tàu - Vĩnh Cửu,11.0846300000000,107.0334370000000,"Khu Phố 5, Thị Trấn Vĩnh An, Huyện Vĩnh Cửu, Đồng Nai","Quán ăn, ","Phở, Bún, Hủ tiếu, Món nước, Ăn vặt - Ăn nhẹ, Thức uống, ","Món Việt, ",07:00 - 21:00,07:00 - 21:00,07:00 - 21:00,07:00 - 21:00,07:00 - 21:00,07:00 - 21:00,07:00 - 21:00,no,no,no,20.000 -40.000,9.0,7.5,7.0,8.1,2
7,Suối Nguồn Cafe,11.0862966000000,107.0620529000000,"53 Bờ Hồ, Xã Vĩnh An, Huyện Vĩnh Cửu, Đồng Nai","Café/Dessert, Thăm quan & chụp ảnh, Du lịch sinh thái, ","Café - Kem, ","Món Việt, ",07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,no,no,no,12.000 -20.000,6.5,7.0,7.5,7.0,2
8,Titi - Bún Bò Huế & Phở,11.0886737305012,107.0339051261544,"06 Nguyễn Tất Thành, Huyện Vĩnh Cửu, Đồng Nai","Quán ăn, ","Món nước, ","Món Việt, ",06:00 - 12:00,06:00 - 12:00,06:00 - 12:00,06:00 - 12:00,06:00 - 12:00,06:00 - 12:00,06:00 - 12:00,no,no,no,20.000 -50.000,9.0,8.0,8.0,8.6,1
9,Quán Nướng Thu Hà,11.0936190000000,107.0282540000000,"190 Quang Trung, Huyện Vĩnh Cửu, Đồng Nai","Quán ăn, ","Thịt Gà, Thịt Bò, Thịt Heo, ","Món Việt, ",14:00 - 23:00,14:00 - 23:00,14:00 - 23:00,14:00 - 23:00,14:00 - 23:00,14:00 - 23:00,14:00 - 23:00,no,no,no,15.000 -50.000,10.0,10.0,8.0,9.6,1
10,Dê Đức Ký - Xã Bình Hòa,10.9815020000000,106.7992810000000,"Khu 3, Ấp Bình Thạch, xã Bình Hòa, Huyện Vĩnh Cửu, Đồng Nai","Quán ăn, ","Thịt Dê, ","Món Việt, ","00:00 - 00:00, 09:00 - 22:00","00:00 - 00:00, 09:00 - 22:00","00:00 - 00:00, 09:00 - 22:00","00:00 - 00:00, 09:00 - 22:00","00:00 - 00:00, 09:00 - 22:00","00:00 - 00:00, 09:00 - 22:00","00:00 - 00:00, 09:00 - 22:00",no,no,yes,80.000 -140.000,10.0,10.0,10.0,10.0,1
11,Cô Hà - Bánh Tráng Nướng,11.0859726000000,107.0421324000000,"165 Quang Trung, TT. Vĩnh An, Huyện Vĩnh Cửu, Đồng Nai","Ăn vặt/vỉa hè, ","Ăn vặt - Ăn nhẹ, ","Món Việt, ",15:30 - 20:30,15:30 - 20:30,15:30 - 20:30,15:30 - 20:30,15:30 - 20:30,15:30 - 20:30,15:30 - 20:30,no,yes,yes,5.000 -10.000,10.0,9.0,10.0,9.8,1
12,3Ku - Quán Ăn Gia Đình,11.0161830302465,106.8327069282532,"Ấp 2 Xã Thạnh Phú, Huyện Vĩnh Cửu, Đồng Nai","Quán ăn, ","Thịt Heo, Hải sản, Lẩu, Cơm, ","Món Việt, ",10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,no,yes,no,50.000 -250.000,10.0,10.0,10.0,10.0,1
13,Bờ Đê Quán - Món Ăn Đồng Quê,11.0981840000000,107.0439120000000,"Phan Chu Trinh, TT. Vĩnh An, Huyện Vĩnh Cửu, Đồng Nai","Quán ăn, ","Thịt Gà, Thịt Heo, Lẩu, ","Món Việt, ",08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,no,yes,no,100.000 -500.000,10.0,10.0,10.0,9.6,1
14,Koi Tea - Thạnh Phú,11.0109401000000,106.8422881999999,"6 Trục 16, P. Thạnh Phú, Huyện Vĩnh Cửu, Đồng Nai","Café/Dessert, ","Café - Kem, Sinh tố - Nước ép, Thức uống, ","Món Việt, ",08:00 - 22:30,08:00 - 22:30,08:00 - 22:30,08:00 - 22:30,08:00 - 22:30,08:00 - 22:30,08:00 - 22:30,yes,no,yes,10.000 -25.000,0.0,0.0,0.0,_._,0
