RestaurantID,Restaurant Name,Latitude,Longitude,Address,Type,Cuisines,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Style,Has_Online_delivery,Has_Table_booking,Has_Wifi,Price,Product_quality(10),Serving_quality(10),Interior_design(10),Average_rating(5),Total votes
1,Domino’s Pizza - Mậu Thân,10.0345939000000,105.7735655000000,"28-30 Mậu Thân, P. An Nghiệp, Quận Ninh Kiều, Cần Thơ",Nhà hàng,"Pizza & Pasta ,  Fastfood - Thức ăn nhanh",10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,,no,no,no,49.000đ - 199.000,0.0,0.0,0.0,_._,0
2,Yellow Bee Bakery - Cách Mạng Tháng 8,10.0644340000000,105.7622900000000,"Số 368 Cách Mạng Tháng 8, P. Bình Thủy, Quận Bình Thủy, Cần Thơ",Quán ăn,Bánh sinh nhật/Bánh kem,08:30 - 20:00,08:30 - 20:00,08:30 - 20:00,08:30 - 20:00,08:30 - 20:00,08:30 - 20:00,08:30 - 20:00,,no,no,no,20.000đ - 40.000,0.0,0.0,0.0,_._,0
3,"Thụy Food - Pizza, Hamburger & Bánh Mì Dinh Dưỡng",10.0217690000000,105.7683870000000,"174 Lê Bình, P. Hưng Lợi, Quận Ninh Kiều, Cần Thơ",Ăn vặt/vỉa hè,"Hamburger ,  Pizza & Pasta ,  Fastfood - Thức ăn nhanh",15:00 - 22:00,15:00 - 22:00,15:00 - 22:00,15:00 - 22:00,15:00 - 22:00,15:00 - 22:00,15:00 - 22:00,,no,yes,yes,20.000đ - 120.000,0.0,0.0,0.0,_._,0
4,Azerai - Nhà Hàng & Khách Sạn,10.0375510000000,105.8019776000000,"Azerai Hotel, Cồn Ấu, P. Hưng Phú, Quận Cái Răng, Cần Thơ","Nhà hàng , Khách sạn","Thịt Gà ,  Thịt Bò ,  Hải sản ,  Món nước ,  Lẩu ,  Pizza & Pasta ,  Đặc sản vùng ,  Thức uống",00:01 - 23:59,00:01 - 23:59,00:01 - 23:59,00:01 - 23:59,00:01 - 23:59,00:01 - 23:59,00:01 - 23:59,"Món Việt ,  Mỹ ,  Quốc tế",no,yes,yes,140.000đ - 580.000,10.0,10.0,10.0,9.4,1
5,"Tiệm Bánh 22 - Taiyaki, Trà Sữa & Trà Trái Cây - Mạc Thiên Tích",10.0299582000000,105.7768285000000,"108/49/94A Mạc Thiên Tích, P. An Phú, Quận Ninh Kiều, Cần Thơ","Ăn vặt/vỉa hè , Tiệm bánh","Sinh tố - Nước ép ,  Thức uống",09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,"Món Việt ,  Món Bắc",yes,no,yes,,0.0,0.0,0.0,_._,0
6,Bánh Bao Thọ Phát Cần Thơ - 37 Trần Văn Khéo,10.0437300000000,105.7831600000000,"37 Trần Văn Khéo, P. Cái Khế, Quận Ninh Kiều, Cần Thơ",Quán ăn,"Bánh bao ,  Bánh - Kẹo",06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,,no,no,no,,0.0,0.0,0.0,_._,0
7,POTATO Khoai Lắc - Gà Rán - Hẻm 51 Đường 3 Tháng 2,10.0255000000000,105.7664900000000,"51/12 Hẻm 51 Đường 3 Tháng 2 , P. Xuân Khánh, Quận Ninh Kiều, Cần Thơ",Quán ăn,"Gà rán ,  Hamburger ,  Pizza & Pasta ,  Fastfood - Thức ăn nhanh",09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,,no,no,no,,0.0,0.0,0.0,_._,0
8,Tiệm Bánh Pizza TasTy & Takoyaki - Đường 3/2,10.0284402000000,105.7732517000000,"Hẻm 51, Số Nhà 51G5, Đường 3/2, P. Xuân Khánh, Quận Ninh Kiều, Cần Thơ",Café/Dessert,"Pizza & Pasta ,  Xúc xích ,  Fastfood - Thức ăn nhanh",09:00 - 21:30,09:00 - 21:30,09:00 - 21:30,09:00 - 21:30,09:00 - 21:30,09:00 - 21:30,09:00 - 21:30,,no,no,no,,0.0,0.0,0.0,_._,0
9,Tiệm Bánh Dung Anh - Bánh Kem & Bánh Ngọt - Nguyễn Văn Cừ Nối Dài,10.0361500000000,105.7577700000000,"390 Nguyễn Văn Cừ Nối Dài, P. An Khánh, Quận Ninh Kiều, Cần Thơ",Quán ăn,"Pizza & Pasta ,  Bánh - Kẹo ,  Bánh tằm ,  Fastfood - Thức ăn nhanh",07:00 - 23:59,07:00 - 23:59,07:00 - 23:59,07:00 - 23:59,07:00 - 23:59,07:00 - 23:59,07:00 - 23:59,,no,no,no,,0.0,0.0,0.0,_._,0
10,Domino - Food & Noodles - Phạm Ngũ Lão,10.0446440000000,105.7768970000000,"77/33B Phạm Ngũ Lão, P. Thới Bình, Quận Ninh Kiều, Cần Thơ",Quán ăn,"Bánh mì ,  Bún ,  Mì ,  Món nước ,  Bánh - Kẹo",08:00 - 23:00,08:00 - 23:00,08:00 - 23:00,08:00 - 23:00,08:00 - 23:00,08:00 - 23:00,08:00 - 23:00,Món Việt,yes,no,no,20.000đ - 50.000,0.0,0.0,0.0,_._,0
