RestaurantID,Restaurant Name,Latitude,Longitude,Address,Type,Cuisines,Style,Has_Online_delivery,Has_Table_booking,Has_Wifi,Price,Product_quality(10),Serving_quality(10),Interior_design(10),Average_rating(5),Total votes,Link_Gốc
1,La Cave Wine Shop & Bistro,10.7813312000000,106.7059020000000,"19 Ngô Văn Năm, Quận 1, TP. HCM",,,,no,yes,yes,300.000 -1.000.000,9.1,6.5,6.4,7.0,"1,257",https://www.foody.vn/ho-chi-minh/la-cave-french-wine-lounge
2,The Sushi Bar - Thiên Quế - Hai Bà Trưng,10.7853420000000,106.6942670000000,"179B Hai Bà Trưng, P. 6, Quận 3, TP. HCM",,,,yes,yes,yes,100.000 -330.000,7.7,7.2,7.3,7.3,423,https://www.foody.vn/ho-chi-minh/the-sushi-bar-thien-que-hai-ba-trung
3,Monkey In Black Cafe - Trần Quang Khải,10.7912622000000,106.6880946000000,"263 Trần Quang Khải, P. Tân Định, Quận 1, TP. HCM",,,,yes,no,yes,25.000 -100.000,7.5,7.9,7.7,7.5,"1,146",https://www.foody.vn/ho-chi-minh/monkey-in-black
3,"Monkey In Black - Milo Dầm, Trà Sữa & Cà Phê",10.7710580000000,106.6700968000000,"698 Sư Vạn Hạnh, Quận 10, TP. HCM",,,,yes,yes,yes,17.000 -49.000,7.7,8.0,7.7,7.6,"1,150",https://www.foody.vn/ho-chi-minh/monkey-in-black-milo-dam-tra-sua-ca-phe
4,Yoshino Japanese Restaurant - Lotte Hotel Saigon,10.7782310000000,106.7069970000000,"Lotte Legend Hotel, 2A - 4A Tôn Đức Thắng, P. Bến Nghé, Quận 1, TP. HCM",,,,no,yes,yes,100.000 -550.000,6.8,7.2,7.4,6.9,12,https://www.foody.vn/ho-chi-minh/yoshino-japanese-restaurant-lotte-hotel-saigon
4,Crystal Jade Palace - Lotte Legend Saigon Hotel,10.7782310000000,106.7069970000000,"Legend Hotel, 2A - 4A Tôn Đức Thắng, P. Bến Nghé, Quận 1, TP. HCM",,,,no,yes,yes,66.000 -500.000,9.7,9.6,9.6,9.6,840,https://www.foody.vn/ho-chi-minh/crystal-jade-palace-legend-lounge-sai-gon
4,Legend Lounge - Lotte Legend Saigon Hotel,10.7788400000000,106.7072150000000,"Lotte Legend Hotel, 2A - 4A Tôn Đức Thắng, P. Bến Nghé, Quận 1, TP. HCM",,,,no,yes,yes,150.000 -300.000,7.6,7.9,8.7,8.0,18,https://www.foody.vn/ho-chi-minh/legend-lounge-lotte-legend-hotel
4,Lotte Legend Saigon Hotel,10.7776410000000,106.7070510000000,"2A - 4A Tôn Đức Thắng, P. Bến Nghé, Quận 1, TP. HCM",,,,no,yes,yes,200.000 -500.000,7.2,7.1,7.2,7.1,161,https://www.foody.vn/ho-chi-minh/lotte-legend-hotel-saigon
4,Tropicana Pool Bar & Eatery - Lotte Legend Saigon Hotel,10.7786640000000,106.7067600000000,"2A - 4A Tôn Đức Thắng, P. Bến Nghé, Quận 1, TP. HCM",,,,yes,no,yes,,6.5,6.3,7.6,7.1,8,https://www.foody.vn/ho-chi-minh/tropicana-pool-bar-eatery-lotte-legend-saigon-hotel
5,Morico - Contemporary Japanese Lifestyle - Lê Lợi,10.7744540000000,106.7007420000000,"30 Lê Lợi, P. Bến Nghé, Quận 1, TP. HCM",,,,yes,yes,yes,70.000 -165.000,8.0,7.8,7.8,7.7,"1,422",https://www.foody.vn/ho-chi-minh/morico-modern-japanese-restaurant-cafe-le-loi
5,Morico - Contemporary Japanese Lifestyle - Vincom Center,10.7784420000000,106.7021580000000,"Tầng B3 Vincom Center, 70 - 72 Lê Thánh Tôn, P. Bến Nghé, Quận 1, TP. HCM",,,,yes,yes,yes,70.000 -220.000,8.2,7.9,7.7,7.7,558,https://www.foody.vn/ho-chi-minh/morico-modern-japanese-restaurant-cafe-vincom-center
5,Morico - Contemporary Japanese Lifestyle - Saigon Pearl,10.7908811000000,106.7190231000000,"Tầng trệt, Tòa nhà Sapphire, Số 92 Nguyễn Hữu Cảnh, P. 22, Quận Bình Thạnh, TP. HCM",,,,yes,yes,yes,70.000 -165.000,8.0,7.9,7.8,7.6,218,https://www.foody.vn/ho-chi-minh/morico-modern-japanese-restaurant-cafe-saigon-pearl
