RestaurantID,Restaurant Name,Latitude,Longitude,Address,Type,Cuisines,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Style,Has_Online_delivery,Has_Table_booking,Has_Wifi,Price,Product_quality(10),Serving_quality(10),Interior_design(10),Average_rating(5),Total votes
1,Hủ Tiếu Nam Vang & Hủ Tiếu Mực HÂN HÂN (96 Cũ) - Phạm Văn Thuận,10.9545723000000,106.8521947000000,"957 Phạm Văn Thuận, KP. 4, P. Tân Mai, Tp. Biên Hòa, Đồng Nai",Quán ăn,"Bún ,  Hủ tiếu ,  Mì ,  Miến",06:00 - 12:00,18:00 - 22:00,06:00 - 12:00,18:00 - 22:00,06:00 - 12:00,18:00 - 22:00,06:00 - 12:00,,no,no,no,8.000 - 35.000,0.0,0.0,0.0,4.5,999+
2,Sủi Cảo AHY - Trương Định,10.9591037000000,106.8456343000000,"209 Trương Định, P. Tân Mai, Tp. Biên Hòa, Đồng Nai",Quán ăn,"Ăn vặt - Ăn nhẹ ,  Nem",06:00 - 13:00,16:30 - 21:00,06:00 - 13:00,16:30 - 21:00,06:00 - 13:00,16:30 - 21:00,06:00 - 13:00,,no,no,no,0 - 0,0.0,0.0,0.0,4.5,999+
3,Hủ Tíu Mực 6 Quyết - Chi Nhánh Biên Hoà,10.9589600000000,106.8456000000000,"25 Trương Định, P. Tân Mai, Tp. Biên Hòa, Đồng Nai",Quán ăn,"Bún ,  Hủ tiếu",06:00 - 21:00,06:00 - 21:00,06:00 - 21:00,06:00 - 21:00,06:00 - 21:00,06:00 - 21:00,06:00 - 21:00,,no,no,no,0 - 0,0.0,0.0,0.0,4.5,100+
4,Sủi Cảo AHY - Trần Quốc Toản,10.9402299000000,106.8636596000000,"258 Trần Quốc Toản, KP3, P. Bình Đa, Tp. Biên Hòa, Đồng Nai",Quán ăn,"Bún ,  Hủ tiếu ,  Mì ,  Dimsum",06:00 - 11:00,06:00 - 11:00,06:00 - 11:00,06:00 - 11:00,06:00 - 11:00,06:00 - 11:00,06:00 - 11:00,,no,no,no,0 - 0,0.0,0.0,0.0,4.5,999+
5,Ông Hai Bầu - Hủ Tiếu Nam Vang,10.9484245000000,106.8341536000000,"52/3A Võ Thị Sáu, P. Thống Nhất, Tp. Biên Hòa, Đồng Nai",Quán ăn,"Bún ,  Hủ tiếu ,  Món nước ,  Hoành Thánh - Vằn Thắn ,  Café - Kem",07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,Món Việt,no,no,no,25.000 - 55.000,7.8,6.5,5.8,4.5,500+
6,Hủ Tiếu Nam Vang Tân Thành Đạt - Phan Đình Phùng,10.9527130000000,106.8181300000000,"176 Phan Đình Phùng, P.Trung Dũng, Tp. Biên Hòa, Đồng Nai",Quán ăn,"Bún ,  Hủ tiếu ,  Mì",06:00 - 10:00,15:00 - 22:00,06:00 - 10:00,15:00 - 22:00,06:00 - 10:00,15:00 - 22:00,06:00 - 10:00,,no,no,no,0 - 0,0.0,0.0,0.0,4.5,100+
7,"Mì Chí Nên - Mì, Hủ Tiếu & Hoành Thánh - Bùi Hữu Nghĩa",10.9057938000000,106.8267722000000,"29/53/22 Bùi Hữu Nghĩa, P. Tân Vạn, Tp. Biên Hòa, Đồng Nai",Quán ăn,Món chay,06:00 - 16:00,06:00 - 16:00,06:00 - 16:00,06:00 - 16:00,06:00 - 16:00,06:00 - 16:00,06:00 - 16:00,"Món Việt ,  Món Trung Hoa",yes,yes,no,0 - 0,0.0,0.0,0.0,4.5,100+
8,Hủ Tiếu Nam Vang Tam Hiệp,10.9456461000000,106.8570436000000,"145/15 Phạm Văn Thuận, P. Tam Hiệp, Tp. Biên Hòa, Đồng Nai",Quán ăn,"Hủ tiếu ,  Món nước",00:00 - 00:00,06:30 - 21:00,00:00 - 00:00,06:30 - 21:00,00:00 - 00:00,06:30 - 21:00,00:00 - 00:00,Món Việt,no,no,no,28.000 - 40.000,8.5,7.5,6.5,4.5,500+
9,"Lẩu Bò, Bún Bò & Phở Bò 68 - Lê Ngô Cát",10.9739580000000,106.9105680000000,"202 Lê Ngô Cát, P. Tân Hòa, Tp. Biên Hòa, Đồng Nai",Quán ăn,"Phở ,  Bún ,  Thịt Bò ,  Lẩu",06:00 - 10:00,15:00 - 21:00,06:00 - 10:00,15:00 - 21:00,06:00 - 10:00,15:00 - 21:00,06:00 - 10:00,,no,no,no,0 - 0,0.0,0.0,0.0,4.5,10+
10,Phở Hà Thành - Phạm Văn Thuận,10.9516190000000,106.8542400000000,"141/11A Phạm Văn Thuận, Khu Phố 5, P. Tam Hiệp, Tp. Biên Hòa, Đồng Nai",Quán ăn,"Phở ,  Bún ,  Hủ tiếu ,  Mì",06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,,no,no,no,10.000 - 60.000,0.0,0.0,0.0,4.5,999+
11,Bánh Cuốn Thiên Hương 6 - Võ Thị Sáu,10.9488860000000,106.8358760000000,"36/3 Võ Thị Sáu, P. Thống Nhất, Tp. Biên Hòa, Đồng Nai",Quán ăn,"Bánh ướt ,  Bánh - Kẹo",08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,,no,no,no,0 - 0,0.0,0.0,0.0,4.5,999+
12,Lạc Tâm Ẩm Thực Nấm,10.9585739000000,106.8383088000000,"Hẻm 1186 (vô 200m), Phạm Văn Thuận, P. Tân Tiến, Tp. Biên Hòa, Đồng Nai",Quán ăn,"Cơm Chiên ,  Bún ,  Mì ,  Món nước ,  Lẩu ,  Bánh canh ,  Miến ,  Bánh - Kẹo ,  Món chay ,  Ăn vặt - Ăn nhẹ ,  Cơm",06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,Món Việt,no,no,no,25.000 - 35.000,6.9,6.8,7.2,4.5,999+
13,Bún Bò Huế 89 - Quốc Lộ 1A,10.9684040000000,106.8991090000000,"648 Quốc Lộ 1A, P.Tân Biên, Tp. Biên Hòa, Đồng Nai",Quán ăn,"Bún ,  Mì",06:00 - 20:00,06:00 - 20:00,06:00 - 20:00,06:00 - 20:00,06:00 - 20:00,06:00 - 20:00,06:00 - 20:00,,no,no,no,30.000 - 50.000,0.0,0.0,0.0,4.5,500+
14,Tiến Phát - Bún Bò Măng & Mì Quảng - Phạm Văn Thuận,10.9394100000000,106.8658220000000,"247/1 Phạm Văn Thuận, Tổ 7, Khu Phố 1, P. Bình Đa, Tp. Biên Hòa, Đồng Nai","Café/Dessert , Quán ăn","Bún ,  Mì",07:00 - 11:30,15:00 - 18:00,07:00 - 11:30,15:00 - 18:00,07:00 - 11:30,15:00 - 18:00,07:00 - 11:30,,no,no,no,25.000 - 30.000,0.0,0.0,0.0,4.5,999+
15,BÚN RIÊU TOP MỠ & BÚN MỌC - TIỆM TRÀ NHI NƠ - TAM HIỆP,10.9402222000000,106.8653611000000,"104/06 Phạm Văn Thuận, P. Tam Hòa, Tp. Biên Hòa, Đồng Nai",Café/Dessert,"Bún ,  Ăn vặt - Ăn nhẹ ,  Nem",09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,,no,no,no,0 - 0,0.0,0.0,0.0,4.5,100+
16,Quán Hủ Tíu Mì - Lộc Phát,10.9936800000000,106.8468480000000,"Cây Xăng Đức Hưng ( Quán Nằm Bên Phải Cây Xăng, Bảng Hiệu Có Nền Vàng Chữ Đỏ ), Khu Phố 3, Đồng Khởi, P. Trảng Dài, Tp. Biên Hòa, Đồng Nai",Quán ăn,"Bún ,  Hủ tiếu",14:00 - 23:30,14:00 - 23:30,14:00 - 23:30,14:00 - 23:30,14:00 - 23:30,14:00 - 23:30,14:00 - 23:30,,no,no,no,0 - 0,0.0,0.0,0.0,4.5,10+
17,Bún Thịt Nướng & Bún Măng Vịt Bùi Thái - Hồ Văn Thể,10.9426210000000,106.8639760000000,"Tổ 17 Hồ Văn Thể, KP1, P. Tam Hòa, Tp. Biên Hòa, Đồng Nai",Quán ăn,Bún,11:00 - 23:00,11:00 - 23:00,11:00 - 23:00,11:00 - 23:00,11:00 - 23:00,11:00 - 23:00,11:00 - 23:00,,no,no,no,0 - 0,0.0,0.0,0.0,4.5,100+
18,"Quán Lê Vy - Bún, Miến Măng Gà & Hủ Tíu Nam Vang",10.9695443000000,106.8994743000000,"59/4 Khu Phố 10, P. Tân Biên, Tp. Biên Hòa, Đồng Nai",Quán ăn,"Bún ,  Hủ tiếu ,  Miến",06:00 - 10:00,06:00 - 10:00,06:00 - 10:00,06:00 - 10:00,06:00 - 10:00,06:00 - 10:00,06:00 - 10:00,,no,no,no,0 - 0,0.0,0.0,0.0,4.5,9
19,Hủ Tíu Nam Nhi - Hoàng Bá Bích,10.9388370000000,106.8807640000000,"443 Hoàng Bá Bích, KP5A, P. Long Bình, Tp. Biên Hòa, Đồng Nai",Quán ăn,"Bún ,  Hủ tiếu",06:00 - 12:00,17:00 - 22:00,06:00 - 12:00,17:00 - 22:00,06:00 - 12:00,17:00 - 22:00,06:00 - 12:00,,no,no,no,0 - 0,0.0,0.0,0.0,4.5,6
