RestaurantID,Restaurant Name,Latitude,Longitude,Address,Type,Cuisines,Style,Has_Online_delivery,Has_Table_booking,Has_Wifi,Price,Product_quality(10),Serving_quality(10),Interior_design(10),Foody_points(5),Shopee_points(5)
1,Country House Cafe,10.834277,106.668235,"18C Phan Văn Trị, P. 10, Quận Gò Vấp, TP. HCM",,,,no,no,yes,25.000 -66.000,6.8,6.9,8.4,3.2,0.0
2,Ròm - Chân Gà Rút Xương Ngâm Sả Tắc - Lê Đức Thọ,10.8518829,106.661455,"1144/28 Lê Đức Thọ, P.15, Quận Gò Vấp, TP. HCM",,,,yes,no,yes,70.000 -220.000,8.7,8.7,8.7,5.0,0.0
3,Du Miên Garden Cafe - Phan Văn Trị,10.8320309278837,106.6739872097969,"7 Phan Văn Trị, P. 10, Quận Gò Vấp, TP. HCM",,,,no,no,yes,40.000 -88.000,6.5,6.4,8.4,3.0,0.0
4,Lộ Thiên Quán - Nguyễn Oanh,10.8427035,106.6769099,"222 Nguyễn Oanh, P. 17, Quận Gò Vấp, TP. HCM",,,,yes,yes,yes,30.000 -150.000,9.1,6.7,6.7,4.6,0.0
5,Bánh Sầu Riêng 9 Sạch - Lê Văn Thọ,10.845333,106.657056,"312 Lê Văn Thọ, P. 11, Quận Gò Vấp, TP. HCM",,,,no,no,no,22.000 -155.000,9.9,9.8,9.8,5.0,0.0
6,Lòng Nướng Chú Tèo 1,10.8314648,106.6872876,"Hẻm 310 Dương Quảng Hàm, Quận Gò Vấp, TP. HCM",,,,yes,no,yes,30.000 -110.000,8.3,6.2,6.4,3.0,0.0
6,Chú Tèo Buffet Nướng 99K - K26 Dương Quảng Hàm,10.8305987,106.6862572999999,"N01 Chung Cư K26 Dương Quảng Hàm, P. 7, Quận Gò Vấp, TP. HCM",,,,no,yes,no,99.000 -119.000,7.1,7.2,7.4,3.0,0.0
6,Chú Tèo Buffet Nướng 99K - 320 Tân Kỳ Tân Quý,10.801434549006,106.6250962391495,"320 Tân Kỳ Tân Quý, Phường Sơn Kỳ, Quận Tân Phú, TP. HCM",,,,yes,yes,yes,99.000 -119.000,6.4,6.4,6.5,3.0,0.0
6,Chú Tèo Buffet Nướng 99K - 16A Phạm Văn Đồng,10.8340436167262,106.728390455246,"16A Phạm Văn Đồng, P. Hiệp Bình Chánh, Tp. Thủ Đức, TP. HCM",,,,no,yes,yes,99.000 -119.000,0.0,0.0,0.0,3.0,0.0
7,Dallas Cakes & Coffee - Quang Trung,10.826985,106.678863,"6 Quang Trung, P. 10, Quận Gò Vấp, TP. HCM",,,,no,no,yes,15.000 -50.000,9.8,9.7,9.5,4.6,0.0
8,SaiGon Chic Cafe,10.8423547,106.6793556,"82 Đường Số 27, P. 6, Quận Gò Vấp, TP. HCM",,,,no,no,yes,25.000 -55.000,7.1,7.5,8.5,3.5,0.0
9,Pepper Lunch - Phan Huy Ích,10.8417445,106.6373006,"Tầng 3, L3-09 Số 385 Phan Huy Ích, P. 14, Quận Gò Vấp, TP. HCM",,,,no,no,yes,200.000 -550.000,8.0,7.1,7.3,3.9,0.0
10,Yuri Yuri - Ẩm Thực Hàn Quốc,10.8433687,106.648852,"350/1B Nguyễn Văn Khối, P, 9, Quận Gò Vấp, TP. HCM",,,,yes,no,yes,30.000 -250.000,6.9,6.8,6.8,3.6,0.0
11,Oasis Cafe,10.8141585,106.6802475,"26/14 Phạm Văn Đồng, P. 3, Quận Gò Vấp, TP. HCM",,,,no,no,yes,15.000 -55.000,0.0,0.0,7.4,2.1,0.0
12,Kichi Kichi Lẩu Băng Chuyền - Nguyễn Văn Trỗi,10.796808,106.673216,"197 Nguyễn Văn Trỗi, P. 10, Quận Phú Nhuận, TP. HCM",,,,no,yes,yes,150.000 -308.000,9.0,9.0,9.0,4.5,0.0
12,Kichi Kichi Lẩu Băng Chuyền - Vincom Center,10.77742,106.701987,"Tầng B3 Vincom Center, 72 Lê Thánh Tôn, P. Bến Nghé, Quận 1, TP. HCM",,,,no,yes,no,149.000 -250.000,8.3,8.3,8.0,4.5,0.0
12,Kichi Kichi Lẩu Băng Chuyền - Phú Mỹ Hưng,10.7229067,106.7102129,"153 Nguyễn Đức Cảnh, P. Tân Phong, Quận 7, TP. HCM",,,,no,yes,yes,149.000 -308.000,7.3,7.2,7.2,4.5,0.0
12,Kichi Kichi Lẩu Băng Chuyền - Sư Vạn Hạnh,10.77645,106.666684,"830 Sư Vạn Hạnh, P. 13, Quận 10, TP. HCM",,,,no,yes,yes,149.000 -308.000,8.1,8.0,8.1,4.5,0.0
12,Kichi Kichi Lẩu Băng Chuyền - Phan Xích Long,10.797645,106.689584,"145 Phan Xích Long, P. 2, Quận Phú Nhuận, TP. HCM",,,,no,yes,yes,149.000 -308.000,7.2,7.0,7.2,4.5,0.0
12,Kichi Kichi Lẩu Băng Chuyền - Pandora City,10.8064,106.634833,"Gian 6A - Tầng 4, Pandora City, 1/1 Trường Chinh, P. Tây Thạnh, Quận Tân Phú, TP. HCM",,,,no,yes,no,149.000 -273.000,7.6,7.4,7.3,4.5,0.0
12,Kichi Kichi Lẩu Băng Chuyền - Cộng Hòa,10.800707,106.660224,"Tầng Trệt, 15-17 Cộng Hòa, P. 4, Quận Tân Bình, TP. HCM",,,,no,yes,yes,149.000 -220.000,7.5,7.7,7.4,4.5,0.0
12,Kichi Kichi Lẩu Băng Chuyền - Quang Trung,10.8267394,106.6793746,"1 Quang Trung, P. 10, Quận Gò Vấp, TP. HCM",,,,no,yes,yes,179.000 -229.000,9.2,9.1,9.2,4.5,0.0
12,Kichi Kichi Lẩu Băng Chuyền - Nguyễn Sơn,10.780695,106.634206,"2 Nguyễn Sơn, P.  Phú Thọ Hòa, Quận Tân Phú, TP. HCM",,,,no,no,yes,150.000 -300.000,8.7,8.7,8.5,4.5,0.0
12,Kichi Kichi Lẩu Băng Chuyền - Vincom Thủ Đức,10.8502727,106.765321,"Tầng 3, Vincom Thủ Đức, 216 Võ Văn Ngân, Tp. Thủ Đức, TP. HCM",,,,no,no,no,150.000 -250.000,8.9,8.9,8.6,4.5,0.0
12,Kichi Kichi Lẩu Băng Chuyền - AEON Mall Tân Phú,10.801526,106.617653,"Tầng 3 AEON Mall Tân Phú, 30 Bờ Bao Tân Thắng, P. Sơn Kỳ, Quận Tân Phú, TP. HCM",,,,no,no,no,189.000 -300.000,8.7,8.6,8.4,4.5,0.0
12,Kichi Kichi Lẩu Băng Chuyền - Pearl Plaza,10.801283,106.708289,"L4 03-04, Pearl Plaza, 561A Điện Biên Phủ, Quận Bình Thạnh, TP. HCM",,,,no,yes,yes,149.000 -220.000,8.0,7.8,8.1,4.5,0.0
13,Food Court - E Mart Gò Vấp,10.822737,106.693586,"Tầng Trệt E - Mart Gò Vấp, 168 Phan Văn Trị, P. 5, Quận Gò Vấp, TP. HCM",,,,no,no,yes,5.000 -200.000,7.1,6.3,6.3,3.8,0.0
14,Gogi House - Nướng Hàn Quốc - Phan Xích Long,10.797722,106.689438,"198 Phan Xích Long, P. 7, Quận Phú Nhuận, TP. HCM",,,,no,yes,yes,65.000 -315.000,8.0,7.4,7.9,4.5,0.0
14,Gogi House - Quán Nướng Hàn Quốc - Vincom Thủ Đức,10.850343,106.765246,"Tầng 3 Vincom Thủ Đức, 216 Võ Văn Ngân, Tp. Thủ Đức, TP. HCM",,,,no,no,yes,79.000 -250.000,7.7,7.4,7.7,4.5,0.0
14,Gogi House - Quán Nướng Hàn Quốc - SC VivoCity,10.730089,106.703522,"Tầng 4 - 12A SC VivoCity, 1058 Nguyễn Văn Linh, KP. 1, P. Tân Phong, Quận 7, TP. HCM",,,,no,no,no,79.000 -250.000,8.6,8.3,8.5,4.5,0.0
14,Gogi House - Quán Nướng Hàn Quốc - Vincom Center,10.777209,106.7017936,"Vincom Center, 72 Lê Thánh Tôn, P. Bến Nghé, Quận 1, TP. HCM",,,,no,yes,yes,100.000 -300.000,8.4,8.2,8.1,4.5,0.0
14,Gogi House - Nướng Hàn Quốc - Vincom Quang Trung,10.829543,106.672132,"B1-04 Vincom Quang Trung, 190 Quang Trung, Quận Gò Vấp, TP. HCM",,,,no,no,yes,100.000 -300.000,9.0,8.8,8.8,4.5,0.0
14,Gogi House - Quán Thịt Nướng Hàn Quốc - Pearl Plaza,10.799865,106.718459,"Lầu 4 - 02 Pearl Plaza, 561A Điện Biên Phủ, P. 25, Quận Bình Thạnh, TP. HCM",,,,yes,no,yes,300.000 -550.000,8.8,8.6,8.8,4.5,0.0
14,Gogi House - Quán Nướng Hàn Quốc - AEON Mall Tân Phú,10.80217,106.618436,"Lô T45 Tầng 3, Aeon Mall Tân Phú, 30 Bờ Bao Tân Thắng, P. Sơn Kỳ, Quận Tân Phú, TP. HCM",,,,no,no,yes,300.000 -550.000,8.8,8.7,8.6,4.5,0.0
14,Gogi House - Thịt Nướng Hàn Quốc - E-Mart Gò Vấp,10.8227366,106.6935754,"Tầng 1 E Mart Gò Vấp, 168 Phan Văn Trị, P. 5, Quận Gò Vấp, TP. HCM",,,,no,yes,yes,100.000 -500.000,8.9,8.7,8.9,4.5,0.0
14,Gogi House - Quán Nướng Hàn Quốc - Vincom Lê Văn Việt,10.845692,106.779025,"Tầng L4-02 Vincom Lê Văn Việt, 50 Lê Văn Việt, P. Hiệp Phú, Tp. Thủ Đức, TP. HCM",,,,no,yes,yes,300.000 -500.000,8.6,8.4,8.8,4.5,0.0
14,Gogi House - Quán Nướng Hàn Quốc - Lotte Mart Gò Vấp,10.838413,106.670952,"Lotte Mart Gò Vấp, 242 Nguyễn Văn Lượng, P. 10, Quận Gò Vấp, TP. HCM",,,,no,no,yes,300.000 -500.000,9.0,8.8,8.9,4.5,0.0
14,Gogi House - Quán Nướng Hàn Quốc - Saigon Centre,10.773599,106.700937,"Saigon Centre, 65 Lê Lợi, P. Bến Nghé, Quận 1, TP. HCM",,,,no,yes,yes,300.000 -500.000,8.6,8.4,8.5,4.5,0.0
14,GoGi House - Quán Thịt Nướng Hàn Quốc - Aeon Mall Bình Tân,10.742589,106.611458,"Tầng 3, Aeon Mall Bình Tân,1 Đường Số 17A, KP. 11, P. Bình Trị Đông B, Quận Bình Tân, TP. HCM",,,,no,no,yes,150.000 -250.000,8.8,8.5,8.4,4.5,0.0
15,Pizza Base,10.8444981,106.6681863,"90 Đường Số 9, P. 16, Quận Gò Vấp, TP. HCM",,,,no,no,no,40.000 -100.000,7.8,7.6,7.5,3.6,0.0
16,Papaxốt - Quang Trung,10.8344128,106.6647571,"458 Quang Trung, Quận Gò Vấp, TP. HCM",,,,no,no,yes,19.000 -89.000,6.9,6.3,6.7,2.7,0.0
17,Bánh Đúc Nóng Bà Già,10.838573,106.636878,"304 Phan Huy Ích, P. 12, Quận Gò Vấp, TP. HCM",,,,no,no,no,8.000 -232.000,7.6,7.2,7.0,3.5,0.0
18,Bánh Mì Chảo Cô 3 Hậu,10.837782,106.655749,"36 Đường Số 18, P. 8, Quận Gò Vấp, TP. HCM",,,,no,no,no,12.000 -45.000,6.7,0.0,0.0,3.9,0.0
