RestaurantID,Restaurant Name,Latitude,Longitude,Address,Type,Cuisines,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Style,Has_Online_delivery,Has_Table_booking,Has_Wifi,Price,Product_quality(10),Serving_quality(10),Interior_design(10),Shopee_points(5),Foody_points(5)
1,Cà Phê Muối Chú Long - Vũng Tàu,10.3396362,107.0836216,"102 Hoàng Hoa Thám, P. Thắng Tam, Tp. Vũng Tàu, Vũng Tàu",Ăn vặt/vỉa hè,"Sinh tố - Nước ép ,  Thức uống",05:00 - 22:00,05:00 - 22:00,05:00 - 22:00,05:00 - 22:00,05:00 - 22:00,05:00 - 22:00,05:00 - 22:00,,no,yes,yes,0 - 0,0.0,0.0,0.0,4.5,0.0
2,Cà Phê Muối Chú Long - Bà Rịa,10.4908673,107.188067,"615 Cách Mạng Tháng 8, P. Long Toàn, Tp. Bà Rịa, Vũng Tàu",Café/Dessert,"Sinh tố - Nước ép ,  Thức uống",05:00 - 22:00,05:00 - 22:00,05:00 - 22:00,05:00 - 22:00,05:00 - 22:00,05:00 - 22:00,05:00 - 22:00,,no,no,no,0 - 0,0.0,0.0,0.0,4.5,0.0
3,Cộng Cà Phê - Ba Cu,10.350564,107.077833,"69 Ba Cu, P. 1, Tp. Vũng Tàu, Vũng Tàu",Café/Dessert,"Trà ,  Café - Kem ,  Sinh tố - Nước ép ,  Thức uống ,  Trà sữa ,  Sữa",07:00 - 18:00,07:00 - 18:00,07:00 - 18:00,07:00 - 18:00,07:00 - 18:00,07:00 - 18:00,07:00 - 18:00,Món Việt,no,no,yes,20.000 - 60.000,0.0,0.0,0.0,4.5,0.0
4,Cộng Cà Phê - Thống Nhất,10.3457005,107.0770464,"4 Thống Nhất, P. 1, Tp. Vũng Tàu, Vũng Tàu",Café/Dessert,"Trà ,  Café - Kem ,  Sinh tố - Nước ép ,  Thức uống ,  Sữa",00:00 - 23:59,00:00 - 23:59,00:00 - 23:59,00:00 - 23:59,00:00 - 23:59,00:00 - 23:59,00:00 - 23:59,Món Việt,no,no,yes,30.000 - 100.000,7.4,7.1,7.5,4.5,4.4
7,Quà Lưu Niệm - Cafe & Trà - Nước Mía,10.3523328,107.0773454,"39 Lê Quý Đôn, P. 1, Tp. Vũng Tàu, Vũng Tàu",Café/Dessert,"Trà chanh ,  Sinh tố - Nước ép ,  Thức uống ,  Trà sữa",06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,,no,no,no,20.000đ - 1.000.000,10.0,10.0,10.0,0.0,5.0
10,,,,,,,,,,,,,,,yes,yes,yes,,0.0,0.0,0.0,0.0,0.0
23,MEAN Coffee & Tea Leaf - Vũng Tàu Center,10.361479,107.075107,"LK11 Vũng Tàu Center, 93 Lê Lợi, P. 6, Tp. Vũng Tàu, Vũng Tàu",Café/Dessert,"Trà ,  Café - Kem ,  Sinh tố - Nước ép ,  Thức uống ,  Trà sữa ,  Sữa",07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,Món Việt,no,no,yes,20.000đ - 45.000,8.3,7.5,7.5,0.0,4.4
24,Havana Coffee,10.3659378,107.0837977,"06K4 Trung Tâm Thương Mại, Nguyễn Thái Học, P. 7, Tp. Vũng Tàu, Vũng Tàu",Café/Dessert,"Trà ,  Café - Kem ,  Sinh tố - Nước ép ,  Thức uống ,  Nước ngọt ,  Sữa",,,,,,,,Món Việt,yes,no,yes,22.000đ - 40.000,8.1,7.2,7.3,0.0,4.3
29,FUKU Coffee - Milk Tea - Gelato Cream,10.350247,107.082535,"217 Trương Công Định, P. 3, Tp. Vũng Tàu, Vũng Tàu",Café/Dessert,"Trà ,  Café - Kem ,  Sinh tố - Nước ép ,  Ăn vặt - Ăn nhẹ ,  Thức uống ,  Nước ngọt ,  Trà sữa ,  Sữa",06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,Món Việt,yes,no,yes,10.000đ - 40.000,8.0,9.0,10.0,0.0,4.8
44,Cờ Lê - Coffee & Milk Tea,10.370155,107.079439,"113 Nguyễn An Ninh, P. 6, Tp. Vũng Tàu, Vũng Tàu",Café/Dessert,"Café - Kem ,  Thức uống ,  Trà sữa",07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,Món Việt,no,no,yes,20.000đ - 40.000,10.0,10.0,10.0,0.0,5.0
50,Seen - Coffee & Milk,10.3483778,107.0748874,"31 Trưng Nhị, P. 1, Tp. Vũng Tàu, Vũng Tàu",Café/Dessert,"Trà ,  Café - Kem ,  Sinh tố - Nước ép ,  Thức uống ,  Nước ngọt ,  Trà sữa ,  Sữa",06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,Món Việt,no,no,yes,15.000đ - 35.000,8.0,8.0,8.0,0.0,4.5
52,Joy Cafe & Food,10.347695,107.075874,"70 Trần Hưng Đạo, P. 1, Tp. Vũng Tàu, Vũng Tàu",Café/Dessert,"Trà ,  Café - Kem ,  Sinh tố - Nước ép ,  Thức uống ,  Bia ,  Nước ngọt ,  Trà sữa ,  Sữa",09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,Món Việt,no,no,yes,20.000đ - 50.000,9.0,9.0,9.0,0.0,4.8
62,Làng House - Cà Phê Sạch - Mỹ Xuân,10.6657724980356,107.1481444601741,"Khu Phố 1, Phường Hắc Dịch, Thị Xã Phú Mỹ, Thị Xã Phú Mỹ, Vũng Tàu",Café/Dessert,"Café - Kem ,  Sinh tố - Nước ép ,  Thức uống",07:00 - 21:00,07:00 - 21:00,07:00 - 21:00,07:00 - 21:00,07:00 - 21:00,07:00 - 21:00,07:00 - 21:00,Món Việt,no,no,yes,15.000đ - 45.000,10.0,9.5,10.0,0.0,5.0
65,Độc Lập Coffee,10.348121,107.077173,"47 Lý Tự Trọng, P. 1, Tp. Vũng Tàu, Vũng Tàu",Café/Dessert,"Trà ,  Café - Kem ,  Sinh tố - Nước ép ,  Thức uống",07:30 - 22:00,07:30 - 22:00,07:30 - 22:00,07:30 - 22:00,07:30 - 22:00,07:30 - 22:00,07:30 - 22:00,Món Việt,no,no,yes,12.000đ - 30.000,8.3,8.3,8.7,0.0,4.6
73,Trà Sữa Pooh & Bee - Hoàng Hoa Thám,10.3398041,107.0843805,"101 Hoàng Hoa Thám, P. Thắng Tam, Tp. Vũng Tàu, Vũng Tàu",Café/Dessert,"Trà ,  Café - Kem ,  Thức uống ,  Nước ngọt ,  Trà sữa",07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,Món Việt,yes,no,yes,12.000đ - 20.000,9.0,8.3,6.0,0.0,4.4
76,Sữa Hạt Dinh Dưỡng Forny With Nuts - CN 43 Lê Hồng Phong,10.356907,107.082422,"43 Lê Hồng Phong, P. 7, Tp. Vũng Tàu, Vũng Tàu",Café/Dessert,"Trà ,  Sinh tố - Nước ép ,  Thức uống ,  Trà sữa ,  Sữa",07:00 - 21:00,07:00 - 21:00,07:00 - 21:00,07:00 - 21:00,07:00 - 21:00,07:00 - 21:00,07:00 - 21:00,Món Việt,no,no,yes,20.000đ - 50.000,10.0,10.0,10.0,0.0,5.0
