RestaurantID,Restaurant Name,Latitude,Longitude,Address,Type,Cuisines,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Style,Has_Online_delivery,Has_Table_booking,Has_Wifi,Price,Product_quality(10),Serving_quality(10),Interior_design(10),preference_level,City,District,Local_address,Min_Price,Max_Price,Avg_Price,Price_range
1,healthy farm - nhà hàng chay tự chọn - minh phụng,10.753505,106.643007,"207 minh phụng, p. 9, quận 6, tp. hcm",ăn chay,"cơm chiên, bún, mì, miến, món chay, cơm",07:30 - 22:00,07:30 - 22:00,07:30 - 22:00,07:30 - 22:00,07:30 - 22:00,07:30 - 22:00,07:30 - 22:00,món việt,no,no,no,5.000 -200.000,6.3,0.0,6.7,low,tp. hcm,quận 6,"207 minh phụng, p. 9",5000.0,170000.0,102500.0,195000.0
2,"thiên ân quán - cơm, bún riêu & bún mắm",10.790203,106.65703,"142 bành văn trân, p. 7, tân bình, tp. hcm",quán ăn,"thịt gà, cơm chiên, thịt bò, bún, thịt heo, hải sản, món nước, mì, miến, ăn vặt - ăn nhẹ, cơm, thức uống, bia",07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,món việt,no,yes,no,20.000 -55.000,6.3,0.0,6.2,low,tp. hcm,tân bình,"142 bành văn trân, p. 7",20000.0,55000.0,37500.0,35000.0
3,vĩnh ký mì gia 2,10.7927798,106.7090719,"91 nguyễn văn lạc, p. 19, bình thạnh, tp. hcm",quán ăn,"phở, bún, hủ tiếu, mì, dimsum",07:00 - 23:30,07:00 - 23:30,07:00 - 23:30,07:00 - 23:30,07:00 - 23:30,07:00 - 23:30,07:00 - 23:30,,no,no,no,0 - 0,0.0,0.0,0.0,high,tp. hcm,bình thạnh,"91 nguyễn văn lạc, p. 19",,,,
4,trà trái cây chị thảo - trà mảng cầu & trà dâu tằm hạc đác,10.8359602,106.7667329,"606 xa lộ hà nội, p. phước long b, thủ đức, tp. hcm",ăn vặt/vỉa hè,"trà chanh, sinh tố - nước ép, thức uống, trà sữa",10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,,no,yes,yes,,10.0,10.0,9.9,high,tp. hcm,thủ đức,"606 xa lộ hà nội, p. phước long b",,,,
5,bảo phúc - bún mộc mì cay xiên que trà sữa,10.858743,106.6272503,"113/11/23 tổ 6 khu phố 7, đông bắc, p. tân chánh hiệp, quận 12, tp. hcm",quán ăn,"bún, hủ tiếu, mì, ăn vặt - ăn nhẹ, nem, cá/bò viên",07:00 - 23:00,07:00 - 23:00,07:00 - 23:00,07:00 - 23:00,07:00 - 23:00,07:00 - 23:00,07:00 - 23:00,,no,no,no,15.000 -45.000,9.5,9.5,9.1,high,tp. hcm,quận 12,"113/11/23 tổ 6 khu phố 7, đông bắc, p. tân chánh hiệp",15000.0,45000.0,30000.0,30000.0
6,trà sữa mr hon - nguyễn văn nghi,10.8237802,106.6875039,"132 nguyễn văn nghi, p.5, gò vấp, tp. hcm",café/dessert,"trà chanh, sinh tố - nước ép, thức uống, trà sữa",08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,,no,no,no,0 - 0,0.0,0.0,0.0,high,tp. hcm,gò vấp,"132 nguyễn văn nghi, p.5",,,,
8,chang - modern thai cuisine - nguyễn đức cảnh,10.727933,106.708558,"sb8-1, mỹ khánh 2, nguyễn đức cảnh, quận 7, tp. hcm",nhà hàng,"thịt bò, bún, hải sản, món nước, mì, cháo, lẩu, cơm",11:00 - 21:30,11:00 - 21:30,11:00 - 21:30,11:00 - 21:30,11:00 - 21:30,11:00 - 21:30,11:00 - 21:30,"món á, món thái",no,no,yes,50.000 -300.000,8.3,8.4,8.5,low,tp. hcm,quận 7,"sb8-1, mỹ khánh 2, nguyễn đức cảnh",50000.0,300000.0,175000.0,250000.0
9,breadtalk - estella place,10.802111,106.748384,"tầng 2 estella place, 88 song hành, p. an phú, thủ đức, tp. hcm",tiệm bánh,"bánh mì, bánh sinh nhật/bánh kem, bánh - kẹo, ăn vặt - ăn nhẹ",09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,"món á, singapore",no,no,yes,13.000 -300.000,9.0,9.0,9.0,moderate,tp. hcm,thủ đức,"tầng 2 estella place, 88 song hành, p. an phú",13000.0,300000.0,156500.0,287000.0
10,bò nướng lá lốt - châu văn liêm,10.0312729212643,105.7834696769714,"châu văn liêm, ninh kiều, cần thơ",quán ăn,thịt bò,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,món việt,no,no,no,20.000 -100.000,7.8,7.1,6.8,high,cần thơ,ninh kiều,châu văn liêm,20000.0,100000.0,60000.0,80000.0
11,"khôi nguyên - cafe, trà sữa & ăn vặt",10.976595,106.753415,"tỉnh lộ 743, tổ 3, kp. mỹ hiệp, t.t thái hòa, tân uyên, bình dương",café/dessert,"café - kem, sinh tố - nước ép, ăn vặt - ăn nhẹ, thức uống",09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,món việt,yes,no,yes,10.000 -40.000,10.0,10.0,9.0,high,bình dương,tân uyên,"tỉnh lộ 743, tổ 3, kp. mỹ hiệp, t.t thái hòa",10000.0,40000.0,25000.0,30000.0
12,tư hiệp cafe,10.222055,105.400091,"bốn tổng - một ngàn, ấp thuận tiến, tt. vĩnh thạnh, vĩnh thạnh, cần thơ",café/dessert,"café - kem, thức uống",06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,món việt,no,no,no,5.000 -15.000,8.0,8.0,8.0,high,cần thơ,vĩnh thạnh,"bốn tổng - một ngàn, ấp thuận tiến, tt. vĩnh thạnh",5000.0,15000.0,10000.0,10000.0
