RestaurantID,Restaurant Name,Latitude,Longitude,Address,Type,Cuisines,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Style,Has_Online_delivery,Has_Table_booking,Has_Wifi,Price,Product_quality(10),Serving_quality(10),Interior_design(10),preference_level
1,Healthy Farm - Nhà Hàng Chay Tự Chọn - Minh Phụng,10.753505,106.643007,"207 Minh Phụng, P. 9, Quận 6, TP. HCM","Ăn chay, ","Cơm Chiên, Bún, Mì, Miến, Món chay, Cơm, ",07:30 - 22:00,07:30 - 22:00,07:30 - 22:00,07:30 - 22:00,07:30 - 22:00,07:30 - 22:00,07:30 - 22:00,"Món Việt, ",no,no,no,5.000 -200.000,6.3,0.0,6.7,low
2,"Thiên Ân Quán - Cơm, Bún Riêu & Bún Mắm",10.790203,106.65703,"142 Bành Văn Trân, P. 7, Quận Tân Bình, TP. HCM","Quán ăn, ","Thịt Gà, Cơm Chiên, Thịt Bò, Bún, Thịt Heo, Hải sản, Món nước, Mì, Miến, Ăn vặt - Ăn nhẹ, Cơm, Thức uống, Bia, ",07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,"Món Việt, ",no,yes,no,20.000 -55.000,6.3,0.0,6.2,low
3,Vĩnh Ký Mì Gia 2,10.7927798,106.7090719,"91 Nguyễn Văn Lạc, P. 19, Bình Thạnh, TP. HCM",Quán ăn,"Phở ,  Bún ,  Hủ tiếu ,  Mì ,  Dimsum",07:00 - 23:30,07:00 - 23:30,07:00 - 23:30,07:00 - 23:30,07:00 - 23:30,07:00 - 23:30,07:00 - 23:30,,no,no,no,0 - 0,0.0,0.0,0.0,high
4,Trà Trái Cây Chị Thảo - Trà Mảng Cầu & Trà Dâu Tằm Hạc Đác,10.8359602,106.7667329,"606 Xa Lộ Hà Nội, P. Phước Long B, Tp. Thủ Đức, TP. HCM","Ăn vặt/vỉa hè, ","Trà chanh, Sinh tố - Nước ép, Thức uống, Trà sữa, ",10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,,no,yes,yes,,10.0,10.0,9.9,high
5,Bảo Phúc - Bún Mộc Mì Cay Xiên Que Trà Sữa,10.858743,106.6272503,"113/11/23 Tổ 6 Khu Phố 7, Đông Bắc, P. Tân Chánh Hiệp, Quận 12, TP. HCM","Quán ăn, ","Bún, Hủ tiếu, Mì, Ăn vặt - Ăn nhẹ, Nem, Cá/bò viên, ",07:00 - 23:00,07:00 - 23:00,07:00 - 23:00,07:00 - 23:00,07:00 - 23:00,07:00 - 23:00,07:00 - 23:00,,no,no,no,15.000 -45.000,9.5,9.5,9.1,high
6,Trà Sữa Mr Hon - Nguyễn Văn Nghi,10.8237802,106.6875039,"132 Nguyễn Văn Nghi, P.5, Gò Vấp, TP. HCM",Café/Dessert,"Trà chanh ,  Sinh tố - Nước ép ,  Thức uống ,  Trà sữa",08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,,no,no,no,0 - 0,0.0,0.0,0.0,high
7,Outside Coffee & Cinema,10.972018,106.662932,"Đường D11, P. Chánh Nghĩa, Thành Phố Thủ Dầu Một, Bình Dương","Café/Dessert, Rạp chiếu phim, ","Café - Kem, Thức uống, ",07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,"Món Việt, ",no,no,yes,14.000 -32.000,10.0,10.0,9.8,high
8,Chang - Modern Thai Cuisine - Nguyễn Đức Cảnh,10.727933,106.708558,"SB8-1, Mỹ Khánh 2, Nguyễn Đức Cảnh, Quận 7, TP. HCM","Nhà hàng, ","Thịt Bò, Bún, Hải sản, Món nước, Mì, Cháo, Lẩu, Cơm, ",11:00 - 21:30,11:00 - 21:30,11:00 - 21:30,11:00 - 21:30,11:00 - 21:30,11:00 - 21:30,11:00 - 21:30,"Món Á, Món Thái, ",no,no,yes,50.000 -300.000,8.3,8.4,8.5,low
9,BreadTalk - Estella Place,10.802111,106.748384,"Tầng 2 Estella Place, 88 Song Hành, P. An Phú, Tp. Thủ Đức, TP. HCM","Tiệm bánh, ","Bánh mì, Bánh sinh nhật/Bánh kem, Bánh - Kẹo, Ăn vặt - Ăn nhẹ, ",09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,"Món Á, Singapore, ",no,no,yes,13.000 -300.000,9.0,9.0,9.0,moderate
10,Bò Nướng Lá Lốt - Châu Văn Liêm,10.0312729212643,105.7834696769714,"Châu Văn Liêm, Quận Ninh Kiều, Cần Thơ","Quán ăn, ","Thịt Bò, ",09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,"Món Việt, ",no,no,no,20.000 -100.000,7.8,7.1,6.8,high
11,"Khôi Nguyên - Cafe, Trà Sữa & Ăn Vặt",10.976595,106.753415,"Tỉnh Lộ 743, Tổ 3, KP. Mỹ Hiệp, T.T Thái Hòa, Thị Xã Tân Uyên, Bình Dương","Café/Dessert, ","Café - Kem, Sinh tố - Nước ép, Ăn vặt - Ăn nhẹ, Thức uống, ",09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,"Món Việt, ",yes,no,yes,10.000 -40.000,10.0,10.0,9.0,high
12,Tư Hiệp Cafe,10.222055,105.400091,"Bốn Tổng - Một Ngàn, Ấp Thuận Tiến, TT. Vĩnh Thạnh, Huyện Vĩnh Thạnh, Cần Thơ","Café/Dessert, ","Café - Kem, Thức uống, ",06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,"Món Việt, ",no,no,no,5.000 -15.000,8.0,8.0,8.0,high
13,Mì Quảng Chính Hiệu,10.840663,106.657208,"163 Lê Văn Thọ, P. 8, Quận Gò Vấp, TP. HCM",,,,,,,,,,,no,no,no,25.000 -39.000,0.0,6.4,6.1,moderate
14,Texas Chicken - Sư Vạn Hạnh,10.7733956,106.6686922,"463 Sư Vạn Hạnh, Quận 10, TP. HCM","Nhà hàng, ","Thịt Gà, Gà rán, Hamburger, Salad, Ăn vặt - Ăn nhẹ, Nem, Xúc xích, Fastfood - Thức ăn nhanh, ",10:00 - 21:30,10:00 - 21:30,10:00 - 21:30,10:00 - 21:30,10:00 - 21:30,10:00 - 21:30,10:00 - 21:30,"Món Âu, ",yes,no,yes,20.000 -295.000,6.7,0.0,6.7,low
15,Paris Baguette - Sky Garden,10.730292,106.706691,"Khu Phố Sky Garden 2, Phạm Văn Nghị - Bắc, P. Tân Phong, Quận 7, TP. HCM","Tiệm bánh, ","Bánh sinh nhật/Bánh kem, Bánh - Kẹo, Salad, ",08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,"Món Âu, Pháp, ",no,no,yes,20.000 -66.000,7.6,6.7,7.7,moderate
16,C.TAO - Chinese Restaurant - Vũng Tàu,10.3600687,107.0915459,"Số 186 Đường 2 Tháng 9, P. 8, Tp. Vũng Tàu, Vũng Tàu",Nhà hàng,"Thịt Gà ,  Thịt Bò ,  Thịt Heo ,  Hải sản ,  Món nước ,  Salad ,  Dimsum ,  Ăn vặt - Ăn nhẹ","10:00 - 14:00
17:00 - 23:00","10:00 - 14:00
17:00 - 23:00","10:00 - 14:00
17:00 - 23:00","10:00 - 14:00
17:00 - 23:00","10:00 - 14:00
17:00 - 22:00","10:00 - 14:00
17:00 - 22:00",,"Món Á ,  Món Trung Hoa",yes,yes,yes,50.000đ - 180.000,6.6,6.2,6.9,moderate
17,Lẩu 1 Người - Lẩu Pin,10.8099744,106.6662745,"28 Cửu Long, P. 2, Quận Tân Bình, TP. HCM","Quán ăn, ","Thịt Gà, Thịt Bò, Thịt Heo, Hải sản, Lẩu, Cơm, ",,,,,,,,"Món Á, Đài Loan, ",no,no,yes,95.000 -105.000,9.0,9.0,8.9,moderate
18,Pizza Hut - Pandora City,10.8064,106.634833,"Tầng 4 Pandora City, 1/1 Trường Chinh, P. Tây Thạnh, Quận Tân Phú, TP. HCM","Nhà hàng, ","Pizza & Pasta, Thức uống, Nước ngọt, Fastfood - Thức ăn nhanh, ",10:30 - 23:00,10:30 - 23:00,10:30 - 23:00,10:30 - 23:00,10:30 - 23:00,10:30 - 23:00,10:30 - 23:00,"Mỹ, Món Âu, Ý, Châu Mỹ, ",yes,yes,yes,120.000 -330.000,7.5,7.2,7.6,moderate
19,Sushi Viên Phương Mập - Hoàng Diệu,10.76301,106.7031,"168 Hoàng Diệu, P. 9, Quận 4, TP. HCM","Ăn vặt/vỉa hè, ","Sushi & Sashimi, Ăn vặt - Ăn nhẹ, ",11:00 - 22:30,11:00 - 22:30,11:00 - 22:30,11:00 - 22:30,11:00 - 22:30,11:00 - 22:30,11:00 - 22:30,"Món Á, Món Nhật, ",yes,yes,yes,1.000 -8.000,7.5,6.9,6.6,moderate
20,Tokyo Deli Express - Sushi - Tên Lửa,10.7503979,106.6112352,"306 - 308 Tên Lửa, P. Bình Trị Đông B, Quận Bình Tân, TP. HCM","Nhà hàng, ","Sushi & Sashimi, ",11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,"Món Á, Món Nhật, ",yes,yes,yes,80.000 -200.000,8.2,8.2,7.8,moderate
