source,area_code,source_file,district_city,province
foody,10,D10.csv,Thành Phố Thủ Dầu Một,Bình Dương
foody,100,D100.csv,Quận 5,TP. HCM
foody,1000,D1000.csv,Thành Phố Long Xuyên,An Giang
foody,101,D101.csv,Quận Tân Phú,TP. HCM
foody,102,D102.csv,Quận 5,TP. HCM
foody,103,D103.csv,Quận Gò Vấp,TP. HCM
foody,104,D104.csv,Quận Bình Thạnh,TP. HCM
foody,105,D105.csv,Quận 12,TP. HCM
foody,106,D106.csv,Quận Tân Bình,TP. HCM
foody,107,D107.csv,Quận Bình Tân,TP. HCM
foody,108,D108.csv,Tp. Thủ Đức,TP. HCM
foody,109,D109.csv,Quận 10,TP. HCM
foody,11,D11.csv,Quận Ninh Kiều,Cần Thơ
foody,110,D110.csv,Quận 1,TP. HCM
foody,111,D111.csv,Quận 3,TP. HCM
foody,112,D112.csv,Quận 4,TP. HCM
foody,113,D113.csv,Quận 6,TP. HCM
foody,114,D114.csv,Quận 2,TP. HCM
foody,115,D115.csv,Quận 7,TP. HCM
foody,116,D116.csv,Quận 8,TP. HCM
foody,117,D117.csv,Quận 9,TP. HCM
foody,118,D118.csv,Quận 11,TP. HCM
foody,119,D119.csv,Quận Phú Nhuận,TP. HCM
foody,12,D12.csv,Quận Ninh Kiều,Cần Thơ
foody,120,D120.csv,Huyện Bình Chánh,TP. HCM
foody,121,D121.csv,Huyện Nhà Bè,TP. HCM
foody,122,D122.csv,Huyện Hóc Môn,TP. HCM
foody,123,D123.csv,Huyện Củ Chi,TP. HCM
foody,124,D124.csv,Huyện Cần Giờ,TP. HCM
foody,125,D125.csv,Thành Phố Thủ Dầu Một,Bình Dương
foody,126,D126.csv,Thị Xã Thuận An,Bình Dương
foody,127,D127.csv,Thị Xã Dĩ An,Bình Dương
foody,128,D128.csv,Thị Xã Bến Cát,Bình Dương
foody,129,D129.csv,Thị Xã Tân Uyên,Bình Dương
foody,13,D13.csv,Quận Ninh Kiều,Cần Thơ
foody,130,D130.csv,Huyện Dầu Tiếng,Bình Dương
foody,131,D131.csv,Huyện Phú Giáo,Bình Dương
foody,132,D132.csv,Huyện Bắc Tân Uyên,Bình Dương
foody,133,D133.csv,Huyện Bàu Bàng,Bình Dương
foody,134,D134.csv,Tp. Vũng Tàu,Vũng Tàu
foody,135,D135.csv,Tp. Bà Rịa,Vũng Tàu
foody,136,D136.csv,Thị Xã Phú Mỹ,Vũng Tàu
foody,137,D137.csv,Huyện Côn Đảo,Vũng Tàu
foody,138,D138.csv,Huyện Long Thành,Vũng Tàu
foody,139,D139.csv,Huyện Xuyên Mộc,Vũng Tàu
foody,140,D140.csv,Huyện Long Điền,Vũng Tàu
foody,141,D141.csv,Huyện Châu Đức,Vũng Tàu
foody,142,D142.csv,Huyện Đất Đỏ,Vũng Tàu
foody,143,D143.csv,Quận 8,TP. HCM
foody,144,D144.csv,Quận Bình Thạnh,TP. HCM
foody,145,D145.csv,Quận Tân Bình,TP. HCM
foody,146,D146.csv,Quận Tân Phú,TP. HCM
foody,147,D147.csv,Quận Gò Vấp,TP. HCM
foody,148,D148.csv,Quận Bình Tân,TP. HCM
foody,149,D149.csv,Quận Ninh Kiều,Cần Thơ
foody,150,D150.csv,Thành Phố Long Xuyên,An Giang
foody,151,D151.csv,Quận Tân Bình,TP. HCM
foody,152,D152.csv,Quận Bình Thạnh,TP. HCM
foody,153,D153.csv,Quận Gò Vấp,TP. HCM
foody,154,D154.csv,Quận Ninh Kiều,Cần Thơ
foody,17,D17.csv,Quận Ninh Kiều,Cần Thơ
foody,18,D18.csv,Quận Ninh Kiều,Cần Thơ
foody,19,D19.csv,Quận Ninh Kiều,Cần Thơ
foody,20,D20.csv,Quận Ninh Kiều,Cần Thơ
foody,201,D201.csv,Huyện Cờ Đỏ,Cần Thơ
foody,202,D202.csv,Huyện Phong Điền,Cần Thơ
foody,203,D203.csv,Huyện Thới Lai,Cần Thơ
foody,204,D204.csv,Huyện Vĩnh Thạnh,Cần Thơ
foody,205,D205.csv,Quận Bình Thủy,Cần Thơ
foody,206,D206.csv,Quận Cái Răng,Cần Thơ
foody,207,D207.csv,Quận Ninh Kiều,Cần Thơ
foody,208,D208.csv,Quận Ô Môn,Cần Thơ
foody,209,D209.csv,Quận Thốt Nốt,Cần Thơ
foody,21,D21.csv,Thành Phố Long Xuyên,An Giang
foody,210,D210.csv,Hưng Phú,Cần Thơ
foody,211,D211.csv,Thành Phố Biên Hòa,Đồng Nai
foody,212,D212.csv,Huyện Long Thành,Đồng Nai
foody,213,D213.csv,Thị Xã Long Khánh,Đồng Nai
foody,214,D214.csv,Huyện Trảng Bom,Đồng Nai
