source,area_code,source_file,district_city,province,num_addresses,top_district_candidates,top_province_candidates
foody,10,D10.csv,Thành Phố Thủ Dầu Một,Bình Dương,76,Thành Phố Thủ Dầu Một (31) | Thị Xã Thuận An (19) | Thị Xã Dĩ An (19),Bình Dương (76)
foody,100,D100.csv,Quận 5,TP. HCM,115,Quận 5 (78) | Quận 1 (8) | Quận Tân Bình (5),TP. HCM (115)
foody,1000,D1000.csv,Thành Phố Long Xuyên,An Giang,35,Thành Phố Long Xuyên (27) | Thành Phố Châu Đốc (5) | Huyện Châu Phú (1),An Giang (35)
foody,101,D101.csv,Quận Tân Phú,TP. HCM,700,Quận Tân Phú (401) | Quận 1 (45) | Quận 7 (34),TP. HCM (700)
foody,102,D102.csv,Quận 5,TP. HCM,123,Quận 5 (55) | Quận 1 (19) | Quận Tân Bình (10),TP. HCM (123)
foody,103,D103.csv,Quận Gò Vấp,TP. HCM,660,Quận Gò Vấp (342) | Quận 1 (44) | Tp. Thủ Đức (37),TP. HCM (660)
foody,104,D104.csv,Quận Bình Thạnh,TP. HCM,783,Quận Bình Thạnh (408) | Quận 1 (63) | Tp. Thủ Đức (49),TP. HCM (783)
foody,105,D105.csv,Quận 12,TP. HCM,421,Quận 12 (270) | Tp. Thủ Đức (21) | Quận 7 (20),TP. HCM (421)
foody,106,D106.csv,Quận Tân Bình,TP. HCM,643,Quận Tân Bình (339) | Quận 1 (48) | Quận Bình Thạnh (33),TP. HCM (643)
foody,107,D107.csv,Quận Bình Tân,TP. HCM,525,Quận Bình Tân (308) | Quận 7 (26) | Quận 1 (26),TP. HCM (525)
foody,108,D108.csv,Tp. Thủ Đức,TP. HCM,1072,Tp. Thủ Đức (572) | Quận 1 (86) | Quận 7 (59),TP. HCM (1072)
foody,109,D109.csv,Quận 10,TP. HCM,454,Quận 10 (225) | Quận 1 (51) | Quận 7 (26),TP. HCM (454)
foody,11,D11.csv,Quận Ninh Kiều,Cần Thơ,100,Quận Ninh Kiều (88) | Quận Cái Răng (8) | Quận Bình Thủy (2),Cần Thơ (100)
foody,110,D110.csv,Quận 1,TP. HCM,784,Quận 1 (453) | Quận 7 (49) | Tp. Thủ Đức (47),TP. HCM (784)
foody,111,D111.csv,Quận 3,TP. HCM,458,Quận 3 (240) | Quận 1 (40) | Quận 7 (24),TP. HCM (458)
foody,112,D112.csv,Quận 4,TP. HCM,148,Quận 4 (136) | Quận 10 (4) | Quận Tân Bình (2),TP. HCM (148)
foody,113,D113.csv,Quận 6,TP. HCM,322,Quận 6 (186) | Quận 1 (23) | Quận 7 (14),TP. HCM (322)
foody,114,D114.csv,Quận 2,TP. HCM,111,Quận 2 (111),TP. HCM (111)
foody,115,D115.csv,Quận 7,TP. HCM,750,Quận 7 (392) | Quận 1 (78) | Tp. Thủ Đức (53),TP. HCM (750)
foody,116,D116.csv,Quận 8,TP. HCM,289,Quận 8 (202) | Quận 1 (14) | Quận 7 (12),TP. HCM (289)
foody,117,D117.csv,Quận 9,TP. HCM,123,Quận 9 (113) | Tp. Thủ Đức (4) | Huyện Củ Chi (2),TP. HCM (123)
foody,118,D118.csv,Quận 11,TP. HCM,435,Quận 11 (341) | Quận 1 (20) | Quận 7 (10),TP. HCM (435)
foody,119,D119.csv,Quận Phú Nhuận,TP. HCM,476,Quận Phú Nhuận (333) | Quận 1 (36) | Quận 7 (15),TP. HCM (476)
